,Difficulty_Level,Key,Link,Range,Tempo,Time_Signature,Title,,,
1624,easy,D,/tunes/true-blue.pdf,"('D', '4', 'A', '5')",96 BPM,8-Jun,True Blue,D,3,/tunes/true-blue
379,intermediate,D,/tunes/clarke-trumpet-tune.pdf,"('F#', '4', 'A', '5')",112 BPM,4-Apr,Trumpet Tune in D The Island Princess,D,3,/tunes/clarke-trumpet-tune
941,intermediate,D,/tunes/stanley-trumpet-voluntary-in-d-major.pdf,"('C#', '4', 'B', '5')",104 BPM,4-Apr,"Trumpet Voluntary in D major Ten Voluntaries for Organ, Op. 6",D,3,/tunes/stanley-trumpet-voluntary-in-d-major
2948,easy,D,/tunes/tyrolese-duett.pdf,"('D', '4', 'A', '5')",112 BPM,4-Mar,Tyrolese Duett,D,3,/tunes/tyrolese-duett
1332,intermediate,D,/tunes/scherer-flute-trio-no3-iii-vivace.pdf,"('D', '4', 'D', '6')",144 BPM,4-Mar,Vivace Flute Trio No. 3,D,3,/tunes/scherer-flute-trio-no3-iii-vivace
1892,intermediate,D,/tunes/quantz-flute-trio-qv3-3-2-ii-vivace.pdf,"('D', '4', 'B', '5')",96 BPM,4-Feb,Vivace Flute Trio in D major,D,3,/tunes/quantz-flute-trio-qv3-3-2-ii-vivace
1147,intermediate,D,/tunes/loeillet-de-gant-op5-no1-i-vivace.pdf,"('E', '4', 'B', '5')",116 BPM,4-Apr,Vivace Sonata for Two Flutes No. 1,D,3,/tunes/loeillet-de-gant-op5-no1-i-vivace
388,advanced,D,/tunes/telemann-six-sonatas-for-two-flutes-no2-vivace.pdf,"('D', '4', 'D', '6')",136 BPM,8-Mar,"Vivace Sonates sans Basse Ã  deux Flutes traverses, No. 3",D,3,/tunes/telemann-six-sonatas-for-two-flutes-no2-vivace
864,intermediate,D,/tunes/tchaikovsky-eugene-onegin-waltz.pdf,"('D', '4', 'Bb', '6')",76 BPM,4-Mar,Waltz Eugene Onegin,D,3,/tunes/tchaikovsky-eugene-onegin-waltz
490,intermediate,D,/tunes/tchaikovsky-the-nutcracker-waltz-of-the-flowers.pdf,"('D', '4', 'E', '6')",60 BPM,4-Mar,Waltz of the Flowers The Nutcracker Suite,D,3,/tunes/tchaikovsky-the-nutcracker-waltz-of-the-flowers
124,easy,D,/tunes/waltzing-matilda.pdf,"('A', '4', 'D', '6')",90 BPM,4-Apr,Waltzing Matilda,D,3,/tunes/waltzing-matilda
2102,easy,D,/tunes/wandering-girl.pdf,"('A', '4', 'A', '5')",96 BPM,8-Jun,Wandering Girl,D,3,/tunes/wandering-girl
507,intermediate,D,/tunes/grieg-lyric-pieces-wedding-day-at-troldhaugen.pdf,"('Db', '4', 'B', '6')",120 BPM,4-Apr,"Wedding Day at Troldhaugen Lyric Pieces, Op. 65",D,3,/tunes/grieg-lyric-pieces-wedding-day-at-troldhaugen
2106,easy,D,/tunes/wee-cooper-of-fife.pdf,"('F#', '4', 'B', '5')",100 BPM,8-Jun,Wee Cooper O' Fife,D,3,/tunes/wee-cooper-of-fife
2824,easy,D,/tunes/wellesley-waltz-trio.pdf,"('D', '4', 'A', '5')",160 BPM,4-Mar,Wellesley Waltz,D,3,/tunes/wellesley-waltz-trio
363,easy,D,/tunes/were-you-there-when-they-crucified-my-lord.pdf,"('A', '4', 'D', '6')",108 BPM,4-Apr,Were You There When They Crucified My Lord?,D,3,/tunes/were-you-there-when-they-crucified-my-lord
2890,intermediate,D,/tunes/when-mornings-light-duet.pdf,"('D', '4', 'D', '6')",76 BPM,8-Jun,When Morning's Light Masaniello,D,3,/tunes/when-mornings-light-duet
2521,intermediate,D,/tunes/where-did-you-come-from.pdf,"('A', '4', 'D', '6')",96 BPM,4-Feb,Where Did You Come From,D,3,/tunes/where-did-you-come-from
700,easy,D,/tunes/while-shepherds-watched-their-flocks-christmas.pdf,"('D', '4', 'E', '6')",90 BPM,4-Apr,While Shepherds Watched Their Flocks,D,3,/tunes/while-shepherds-watched-their-flocks-christmas
83,easy,D,/tunes/whiskey-before-breakfast.pdf,"('D', '4', 'B', '5')",184 BPM,4-Apr,Whiskey Before Breakfast,D,3,/tunes/whiskey-before-breakfast
2887,easy,D,/tunes/wicklow.pdf,"('D', '4', 'D', '6')",96 BPM,8-Jun,Wicklow,D,3,/tunes/wicklow
2756,easy,D,/tunes/zaras-earrings-duet.pdf,"('G#', '4', 'E', '6')",80 BPM,4-Apr,Zara's Earrings,D,3,/tunes/zaras-earrings-duet
866,easy,D minor,/tunes/a-la-nanita-nana.pdf,"('D', '4', 'D', '5')",100 BPM,8-Jun,A la nanita nana,Dm,12,/tunes/a-la-nanita-nana
865,intermediate,D minor,/tunes/mozart-the-magic-flute-ach-ich-fuhls.pdf,"('D', '4', 'F', '6')",76 BPM,8-Jun,"Ach, ich fÃ_hl's, es ist verschwunden The Magic Flute",Dm,12,/tunes/mozart-the-magic-flute-ach-ich-fuhls
56,intermediate,D minor,/tunes/marcello-oboe-concerto-adagio.pdf,"('E', '4', 'C', '6')",32 BPM,4-Mar,Adagio Oboe Concerto in D minor,Dm,12,/tunes/marcello-oboe-concerto-adagio
1613,intermediate,D minor,/tunes/albinoni-trattenimenti-armonici-no5-iii-adagio.pdf,"('D', '4', 'Bb', '5')",48 BPM,4-Apr,"Adagio Trattenimenti armonici, Sonata No. 5 in F major",Dm,12,/tunes/albinoni-trattenimenti-armonici-no5-iii-adagio
648,intermediate,D minor,/tunes/marcello-recorder-sonata-in-d-minor-op2-no2-adagio.pdf,"('G', '4', 'D', '6')",42 BPM,4-Apr,Adagio Recorder Sonata No. 2 in D minor,Dm,12,/tunes/marcello-recorder-sonata-in-d-minor-op2-no2-adagio
2189,easy,D minor,/tunes/marcello-recorder-sonata-in-d-minor-op2-no8-i-adagio.pdf,"('A', '4', 'C', '6')",52 BPM,4-Apr,Adagio Recorder Sonata No. 8 in D minor,Dm,12,/tunes/marcello-recorder-sonata-in-d-minor-op2-no8-i-adagio
436,easy,D minor,/tunes/purcell-the-double-dealer-air-in-d-minor.pdf,"('F', '4', 'Bb', '5')",72 BPM,4-Mar,Air in D minor The Double Dealer,Dm,12,/tunes/purcell-the-double-dealer-air-in-d-minor
109,easy,D minor,/tunes/all-the-pretty-little-horses.pdf,"('A', '4', 'C', '6')",56 BPM,4-Feb,All the Pretty Little Horses,Dm,12,/tunes/all-the-pretty-little-horses
1557,intermediate,D minor,/tunes/albinoni-trattenimenti-armonici-no4-iv-allegro.pdf,"('D', '4', 'D', '6')",112 BPM,4-Mar,"Allegro Trattenimenti armonici, Sonata No. 4 in D minor",Dm,12,/tunes/albinoni-trattenimenti-armonici-no4-iv-allegro
1601,intermediate,D minor,/tunes/ranish-op2-no9-ii-allegro.pdf,"('D', '4', 'D', '6')",108 BPM,4-Apr,Allegro Flute Sonata No. 9 in D minor,Dm,12,/tunes/ranish-op2-no9-ii-allegro
1654,intermediate,D minor,/tunes/blavet-op1-sonata-no5-v-allegro.pdf,"('D', '4', 'C', '6')",80 BPM,2-Feb,Allegro Sonata for Two Flutes No. 5 in D minor,Dm,12,/tunes/blavet-op1-sonata-no5-v-allegro
653,intermediate,D minor,/tunes/marcello-recorder-sonata-in-d-minor-op2-no2-ii-allegro.pdf,"('A', '4', 'C', '6')",120 BPM,4-Feb,Allegro Recorder Sonata No. 2 in D minor,Dm,12,/tunes/marcello-recorder-sonata-in-d-minor-op2-no2-ii-allegro
656,intermediate,D minor,/tunes/telemann-tafelmusik-quartet-in-d-minor-allegro.pdf,"('E', '4', 'G', '6')",112 BPM,4-Apr,Allegro Quartet in D minor (Tafelmusik),Dm,12,/tunes/telemann-tafelmusik-quartet-in-d-minor-allegro
2197,intermediate,D minor,/tunes/marcello-recorder-sonata-in-d-minor-op2-no8-ii-allegro.pdf,"('G', '4', 'D', '6')",108 BPM,4-Apr,Allegro Recorder Sonata No. 8 in D minor,Dm,12,/tunes/marcello-recorder-sonata-in-d-minor-op2-no8-ii-allegro
669,intermediate,D minor,/tunes/marcello-recorder-sonata-in-d-minor-op2-no2-iv-allegro.pdf,"('F', '4', 'D', '6')",69 BPM,8-Mar,Allegro Recorder Sonata No. 2 in D minor,Dm,12,/tunes/marcello-recorder-sonata-in-d-minor-op2-no2-iv-allegro
2213,intermediate,D minor,/tunes/blavet-op2-sonata-no2-allegro.pdf,"('D', '4', 'E', '6')",100 BPM,4-Mar,"Allegro Flute Sonata No. 2 in D minor, â€œLa Vibrayâ€ù",Dm,12,/tunes/blavet-op2-sonata-no2-allegro
1725,intermediate,D minor,/tunes/vivaldi-concerto-in-d-minor-i-allegro.pdf,"('D', '4', 'Bb', '5')",104 BPM,4-Apr,Allegro Concerto in D minor,Dm,12,/tunes/vivaldi-concerto-in-d-minor-i-allegro
1499,intermediate,D minor,/tunes/blavet-op1-sonata-no5-ii-allegro.pdf,"('E', '4', 'B\xe2\x99\xae', '5')",120 BPM,4-Mar,Allegro Sonata for Two Flutes No. 5 in D minor,Dm,12,/tunes/blavet-op1-sonata-no5-ii-allegro
2185,easy,D minor,/tunes/blavet-op2-sonata-no2-allemanda.pdf,"('F#', '4', 'Bb', '5')",92 BPM,4-Apr,"Allemanda Flute Sonata No. 2 in D minor, â€œLa Vibrayâ€ù",Dm,12,/tunes/blavet-op2-sonata-no2-allemanda
1508,intermediate,D minor,/tunes/blavet-op1-sonata-no5-i-allemanda.pdf,"('E', '4', 'C', '6')",60 BPM,4-Apr,Allemanda Sonata for Two Flutes No. 5 in D minor,Dm,12,/tunes/blavet-op1-sonata-no5-i-allemanda
903,intermediate,D minor,/tunes/bach-partita-in-d-minor-for-solo-violin-allemande.pdf,"('C', '4', 'G', '6')",60 BPM,4-Apr,Allemande Partita No. 2 in D minor for solo violin,Dm,12,/tunes/bach-partita-in-d-minor-for-solo-violin-allemande
2202,intermediate,D minor,/tunes/boismortier-op13-no8-allemande.pdf,"('E', '4', 'D', '6')",88 BPM,4-Apr,"Allemande 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 8",Dm,12,/tunes/boismortier-op13-no8-allemande
936,intermediate,D minor,/tunes/bach-cello-suite-no2-allemande.pdf,"('D', '4', 'F', '6')",56 BPM,4-Apr,Allemande Cello Suite No. 2 in D minor,Dm,12,/tunes/bach-cello-suite-no2-allemande
759,easy,D minor,/tunes/an-italian-ground.pdf,"('G', '4', 'C', '6')",40 BPM,4-Mar,"An Italian Ground The Division Flute, Part II",Dm,12,/tunes/an-italian-ground
803,intermediate,D minor,/tunes/bach-brandenburg-concerto-no2-andante.pdf,"('C', '4', 'G', '6')",60 BPM,4-Mar,Andante Brandenburg Concerto No. 2 in F major,Dm,12,/tunes/bach-brandenburg-concerto-no2-andante
2092,intermediate,D minor,/tunes/jensen-op16-no1-ii-andante.pdf,"('D', '4', 'D', '6')",144 BPM,8-Mar,"Andante Six duos faciles et brillants, No. 1",Dm,12,/tunes/jensen-op16-no1-ii-andante
852,intermediate,D minor,/tunes/kohler-forty-progressive-duets-vol2-no5.pdf,"('C#', '4', 'D', '6')",80 BPM,4-Jul,"Andante Forty Progressive Duets, Vol. II",Dm,12,/tunes/kohler-forty-progressive-duets-vol2-no5
625,intermediate,D minor,/tunes/telemann-tafelmusik-quartet-in-d-minor-andante.pdf,"('D', '4', 'F', '6')",56 BPM,4-Apr,Andante Quartet in D minor (Tafelmusik),Dm,12,/tunes/telemann-tafelmusik-quartet-in-d-minor-andante
2167,intermediate,D minor,/tunes/blavet-op2-sonata-no2-andante.pdf,"('E', '4', 'Bb', '5')",104 BPM,4-Mar,"Andante Flute Sonata No. 2 in D minor, â€œLa Vibrayâ€ù",Dm,12,/tunes/blavet-op2-sonata-no2-andante
699,intermediate,D minor,/tunes/hummel-flute-sonata-in-d-andante.pdf,"('C', '4', 'F', '6')",90 BPM,8-Jun,Andante Sonata for Flute and Piano in D major,Dm,12,/tunes/hummel-flute-sonata-in-d-andante
789,intermediate,D minor,/tunes/marcello-oboe-concerto-andante-e-spiccato.pdf,"('D', '4', 'B\xe2\x99\xae', '5')",76 BPM,4-Apr,Andante e spiccato Oboe Concerto in D minor,Dm,12,/tunes/marcello-oboe-concerto-andante-e-spiccato
1127,intermediate,D minor,/tunes/kohler-forty-progressive-duets-vol1-no22.pdf,"('C', '4', 'G', '6')",56 BPM,8-Jun,"Andantino Forty Progressive Duets, Vol. I",Dm,12,/tunes/kohler-forty-progressive-duets-vol1-no22
560,intermediate,D minor,/tunes/bizet-carmen-aragonaise.pdf,"('C', '4', 'Bb', '6')",80 BPM,8-Mar,Aragonaise Carmen,Dm,12,/tunes/bizet-carmen-aragonaise
1634,easy,D minor,/tunes/blavet-op1-sonata-no5-iii-aria.pdf,"('D', '4', 'Bb', '5')",84 BPM,4-Mar,Aria Sonata for Two Flutes No. 5 in D minor,Dm,12,/tunes/blavet-op1-sonata-no5-iii-aria
691,intermediate,D minor,/tunes/bizet-carmen-avec-la-garde-montante.pdf,"('C', '4', 'F', '6')",112 BPM,4-Feb,Avec la garde montante Carmen,Dm,12,/tunes/bizet-carmen-avec-la-garde-montante
2787,intermediate,D minor,/tunes/kuhlau-12-variations-and-solos-op10b-no3-capriccio.pdf,"('D', '4', 'G', '6')",66 BPM,4-Apr,Capriccio 12 Variations and Solos for Flute,Dm,12,/tunes/kuhlau-12-variations-and-solos-op10b-no3-capriccio
2831,intermediate,D minor,/tunes/corelli-violin-sonata-op5-no7-ii-corrente.pdf,"('C', '4', 'D', '6')",120 BPM,4-Mar,Corrente Violin Sonata No. 7 in D minor,Dm,12,/tunes/corelli-violin-sonata-op5-no7-ii-corrente
909,intermediate,D minor,/tunes/bach-partita-in-d-minor-for-solo-violin-courante.pdf,"('C#', '4', 'F', '6')",120 BPM,4-Mar,Courante Partita No. 2 in D minor for solo violin,Dm,12,/tunes/bach-partita-in-d-minor-for-solo-violin-courante
955,advanced,D minor,/tunes/bach-cello-suite-no2-courante.pdf,"('C', '4', 'G', '6')",96 BPM,4-Mar,Courante Cello Suite No. 2 in D minor,Dm,12,/tunes/bach-cello-suite-no2-courante
391,advanced,D minor,/tunes/monti-csardas.pdf,"('G#', '4', 'A', '6')",144 BPM,4-Feb,CsÃ¡rdÃ¡s,Dm,12,/tunes/monti-csardas
1669,intermediate,D minor,/tunes/saint-saens-samson-et-dalila-bacchanale.pdf,"('G#', '4', 'F', '6')",120 BPM,4-Feb,Danse Bacchanale Samson et Dalila,Dm,12,/tunes/saint-saens-samson-et-dalila-bacchanale
2493,intermediate,D minor,/tunes/toribio-la-princesa-de-la-media-luna-danza-del-villano.pdf,"('C', '4', 'F', '6')",100 BPM,4-Feb,Danza del villano La princesa de la media luna,Dm,12,/tunes/toribio-la-princesa-de-la-media-luna-danza-del-villano
1581,intermediate,D minor,/tunes/mozart-the-magic-flute-der-holle-rache-kocht-in-meinem-herzen.pdf,"('D', '4', 'G', '6')",136 BPM,4-Apr,Der HÃ¶lle Rache kocht in meinem Herzen The Magic Flute,Dm,12,/tunes/mozart-the-magic-flute-der-holle-rache-kocht-in-meinem-herzen
2218,easy,D minor,/tunes/boismortier-op13-no8-doucement.pdf,"('D', '4', 'F', '5')",72 BPM,2-Mar,"Doucement 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 8",Dm,12,/tunes/boismortier-op13-no8-doucement
744,easy,D minor,/tunes/drive-the-cold-winter-away.pdf,"('D', '4', 'F', '5')",48 BPM,8-Jun,Drive the Cold Winter Away,Dm,12,/tunes/drive-the-cold-winter-away
40,easy,D minor,/tunes/drunken-sailor.pdf,"('C', '5', 'D', '6')",112 BPM,4-Feb,Drunken Sailor,Dm,12,/tunes/drunken-sailor
1215,easy,D minor,/tunes/kohler-op93-no1-duet-no3-in-d-minor.pdf,"('D', '4', 'F#', '6')",80 BPM,4-Feb,"Duet No. 3 in D minor 20 Easy Melodic Progressive Exercises, Book 1",Dm,12,/tunes/kohler-op93-no1-duet-no3-in-d-minor
1578,intermediate,D minor,/tunes/kohler-op93-no2-duet-no9-in-d-minor.pdf,"('G#', '4', 'G', '6')",96 BPM,4-Feb,"Duet No. 9 in D minor 20 Easy Melodic Progressive Exercises, Book 2",Dm,12,/tunes/kohler-op93-no2-duet-no9-in-d-minor
1645,intermediate,D minor,/tunes/villoldo-el-cachorrito.pdf,"('C#', '4', 'D', '6')",76 BPM,4-Feb,El cachorrito,Dm,12,/tunes/villoldo-el-cachorrito
1456,intermediate,D minor,/tunes/el-choclo.pdf,"('G#', '4', 'E', '6')",60 BPM,4-Feb,El Choclo,Dm,12,/tunes/el-choclo
1498,easy,D minor,/tunes/fair-fanny.pdf,"('D', '4', 'G', '5')",80 BPM,2-Feb,Fair Fanny,Dm,12,/tunes/fair-fanny
607,intermediate,D minor,/tunes/telemann-fantasia-for-solo-flute-no6.pdf,"('D', '4', 'E', '6')",156 BPM,4-Mar,Fantasia No. 6 in D minor 12 Fantasias for Solo Flute,Dm,12,/tunes/telemann-fantasia-for-solo-flute-no6
1703,intermediate,D minor,/tunes/kohler-op66-farewell.pdf,"('C#', '4', 'A', '6')",80 BPM,8-Jun,Farewell 25 Romantic Studies,Dm,12,/tunes/kohler-op66-farewell
439,intermediate,D minor,/tunes/lully-gavotte.pdf,"('C', '4', 'F', '6')",108 BPM,4-Apr,Gavotte,Dm,12,/tunes/lully-gavotte
2235,intermediate,D minor,/tunes/boismortier-op13-no8-gavotte.pdf,"('F', '4', 'D', '6')",88 BPM,2-Feb,"Gavotte 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 8",Dm,12,/tunes/boismortier-op13-no8-gavotte
1621,intermediate,D minor,/tunes/ranish-op2-no9-iii-giga.pdf,"('E', '4', 'C', '6')",96 BPM,8-Dec,Giga Flute Sonata No. 9 in D minor,Dm,12,/tunes/ranish-op2-no9-iii-giga
919,advanced,D minor,/tunes/bach-partita-in-d-minor-for-solo-violin-gigue.pdf,"('C', '4', 'Bb', '6')",66 BPM,8-Dec,Giga Partita No. 2 in D minor for solo violin,Dm,12,/tunes/bach-partita-in-d-minor-for-solo-violin-gigue
2811,intermediate,D minor,/tunes/corelli-violin-sonata-op5-no7-iv-giga.pdf,"('C', '4', 'Bb', '5')",100 BPM,8-Jun,Giga Violin Sonata No. 7 in D minor,Dm,12,/tunes/corelli-violin-sonata-op5-no7-iv-giga
1024,intermediate,D minor,/tunes/bach-cello-suite-no2-gigue.pdf,"('C', '4', 'F', '6')",60 BPM,8-Mar,Gigue Cello Suite No. 2 in D minor,Dm,12,/tunes/bach-cello-suite-no2-gigue
1541,intermediate,D minor,/tunes/sarti-6-flute-sonatas-no4-grave.pdf,"('F#', '4', 'C', '6')",52 BPM,4-Mar,Grave Flute Sonata No. 4 in G minor,Dm,12,/tunes/sarti-6-flute-sonatas-no4-grave
1515,intermediate,D minor,/tunes/albinoni-trattenimenti-armonici-no4-i-grave-adagio.pdf,"('C#', '4', 'D', '6')",48 BPM,4-Apr,"Grave Adagio Trattenimenti armonici, Sonata No. 4 in D minor",Dm,12,/tunes/albinoni-trattenimenti-armonici-no4-i-grave-adagio
93,intermediate,D minor,/tunes/bizet-carmen-habanera.pdf,"('D', '5', 'F#', '6')",72 BPM,4-Feb,Habanera Carmen,Dm,12,/tunes/bizet-carmen-habanera
307,easy,D minor,/tunes/hatikvah.pdf,"('A', '4', 'D', '6')",72 BPM,4-Feb,Hatikvah,Dm,12,/tunes/hatikvah
578,easy,D minor,/tunes/i-wonder-as-i-wander.pdf,"('F', '4', 'A', '5')",90 BPM,8-Jun,I Wonder as I Wander,Dm,12,/tunes/i-wonder-as-i-wander
341,intermediate,D minor,/tunes/ievan-polkka.pdf,"('A', '4', 'A', '5')",108 BPM,4-Feb,Ievan Polkka,Dm,12,/tunes/ievan-polkka
2461,intermediate,D minor,/tunes/bach-invention-no4-in-d-minor.pdf,"('C', '4', 'F', '6')",172 BPM,8-Mar,Invention No. 4 in D minor,Dm,12,/tunes/bach-invention-no4-in-d-minor
2839,intermediate,D minor,/tunes/rachmaninoff-italian-polka-flute-and-piano.pdf,"('A', '4', 'A', '6')",69 BPM,4-Feb,Italian Polka,Dm,12,/tunes/rachmaninoff-italian-polka-flute-and-piano
3089,easy,D minor,/tunes/joy-to-the-person-of-my-love.pdf,"('D', '4', 'F', '5')",100 BPM,4-Apr,Joy to the Person of My Love,Dm,12,/tunes/joy-to-the-person-of-my-love
2016,intermediate,D minor,/tunes/boismortier-op-22-no39-lentreprenante.pdf,"('D', '4', 'D', '6')",120 BPM,4-Mar,L'Entreprenante 55 Easy Pieces,Dm,12,/tunes/boismortier-op-22-no39-lentreprenante
2024,easy,D minor,/tunes/boismortier-op-22-no40-la-perplexe.pdf,"('D', '4', 'Bb', '5')",84 BPM,2-Mar,La Perplexe 55 Easy Pieces,Dm,12,/tunes/boismortier-op-22-no40-la-perplexe
582,easy,D minor,/tunes/la-strasbourgeoise.pdf,"('A', '4', 'C', '6')",100 BPM,4-Feb,La Strasbourgeoise,Dm,12,/tunes/la-strasbourgeoise
2069,intermediate,D minor,/tunes/burgmuller-op100-la-tarentelle.pdf,"('D', '4', 'F', '6')",144 BPM,8-Jun,La Tarentelle 25 Ã‰tudes faciles et progressives,Dm,12,/tunes/burgmuller-op100-la-tarentelle
2881,easy,D minor,/tunes/mozart-requiem-lacrimosa-quartet.pdf,"('B', '3', 'A', '6')",44 BPM,8-Dec,Lacrimosa Requiem in D minor,Dm,12,/tunes/mozart-requiem-lacrimosa-quartet
771,intermediate,D minor,/tunes/bach-wf-flute-duet-no4-lamentabile.pdf,"('D', '4', 'E', '6')",66 BPM,8-Jun,Lamentabile Flute Duet No. 4 in F major,Dm,12,/tunes/bach-wf-flute-duet-no4-lamentabile
523,intermediate,D minor,/tunes/telemann-sonata-no1-in-f-major-largo.pdf,"('A', '4', 'Eb', '6')",52 BPM,4-Mar,Largo Sonata No. 1 in F major (Der getreue Musikmeister),Dm,12,/tunes/telemann-sonata-no1-in-f-major-largo
1565,easy,D minor,/tunes/marcello-op2-sonata-no1-largo.pdf,"('C#', '5', 'Bb', '5')",69 BPM,4-Mar,Largo Recorder Sonata No. 1 in F major,Dm,12,/tunes/marcello-op2-sonata-no1-largo
2444,easy,D minor,/tunes/marcello-recorder-sonata-in-f-major-op2-no12-iv-largo.pdf,"('A', '4', 'Bb', '5')",60 BPM,2-Mar,Largo Recorder Sonata No. 12 in F major,Dm,12,/tunes/marcello-recorder-sonata-in-f-major-op2-no12-iv-largo
2186,easy,D minor,/tunes/boismortier-op13-no8-lentement.pdf,"('D', '4', 'D', '6')",60 BPM,2-Feb,"Lentement 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 8",Dm,12,/tunes/boismortier-op13-no8-lentement
2193,intermediate,D minor,/tunes/blavet-op2-sonata-no2-les-coquets.pdf,"('D', '4', 'D', '6')",66 BPM,2-Feb,"Les Coquets Flute Sonata No. 2 in D minor, â€œLa Vibrayâ€ù",Dm,12,/tunes/blavet-op2-sonata-no2-les-coquets
2032,intermediate,D minor,/tunes/boismortier-op-22-no41-les-harangeres.pdf,"('D', '4', 'D', '6')",96 BPM,2-Feb,Les HarangÃ¨res 55 Easy Pieces,Dm,12,/tunes/boismortier-op-22-no41-les-harangeres
2306,easy,D minor,/tunes/blavet-op2-sonata-no5-les-regrets.pdf,"('G#', '4', 'Bb', '5')",60 BPM,2-Feb,"Les Regrets Flute Sonata No. 5 in D major, â€œLa Chauvetâ€ù",Dm,12,/tunes/blavet-op2-sonata-no5-les-regrets
576,intermediate,D minor,/tunes/telemann-concerto-a-tre-twv42-f14-loure.pdf,"('C', '4', 'F', '6')",84 BPM,4-Jun,Loure Concerto a tre in F major,Dm,12,/tunes/telemann-concerto-a-tre-twv42-f14-loure
2587,intermediate,D minor,/tunes/grieg-lyric-pieces-march-of-the-dwarfs.pdf,"('D', '4', 'A', '6')",152 BPM,4-Feb,"March of the Dwarfs Lyric Pieces, Op. 54",Dm,12,/tunes/grieg-lyric-pieces-march-of-the-dwarfs
143,intermediate,D minor,/tunes/gounod-marche-funebre-dune-marionette.pdf,"('D', '4', 'A', '6')",84 BPM,8-Jun,Marche FunÃ¨bre d'une Marionette,Dm,12,/tunes/gounod-marche-funebre-dune-marionette
353,intermediate,D minor,/tunes/maria-mari.pdf,"('A', '4', 'A', '5')",128 BPM,4-Mar,"Maria, MarÃ¬",Dm,12,/tunes/maria-mari
997,intermediate,D minor,/tunes/bach-cello-suite-no2-menuets.pdf,"('D', '4', 'G', '6')",108 BPM,4-Mar,Menuets I and II Cello Suite No. 2 in D minor,Dm,12,/tunes/bach-cello-suite-no2-menuets
1051,intermediate,D minor,/tunes/bach-minuet-in-d-minor.pdf,"('C#', '4', 'Bb', '5')",120 BPM,4-Mar,Minuet in D minor Notebook for Anna Magdalena Bach,Dm,12,/tunes/bach-minuet-in-d-minor
328,easy,D minor,/tunes/moon-on-the-ruined-castle.pdf,"('D', '4', 'F', '5')",76 BPM,4-Apr,Moon on the Ruined Castle,Dm,12,/tunes/moon-on-the-ruined-castle
2203,intermediate,D minor,/tunes/daquin-livre-de-noels-no6.pdf,"('A', '4', 'Bb', '5')",72 BPM,4-Feb,NoÃ«l No. 6 Livre de NoÃ«ls,Dm,12,/tunes/daquin-livre-de-noels-no6
891,easy,D minor,/tunes/noi-suntem-romani.pdf,"('C', '5', 'E', '6')",104 BPM,4-Apr,Noi suntem romÃ¢ni,Dm,12,/tunes/noi-suntem-romani
1451,easy,D minor,/tunes/ocarolans-lament.pdf,"('D', '4', 'F', '5')",96 BPM,4-Mar,O'Carolan's Lament,Dm,12,/tunes/ocarolans-lament
2966,easy,D minor,/tunes/oconnors-frolics.pdf,"('D', '4', 'A', '5')",100 BPM,8-Jun,O'Connor's Frolics,Dm,12,/tunes/oconnors-frolics
1358,intermediate,D minor,/tunes/ormond-house.pdf,"('D', '4', 'A', '5')",104 BPM,2-Feb,Ormond House,Dm,12,/tunes/ormond-house
1676,intermediate,D minor,/tunes/parsons-farewell.pdf,"('F', '4', 'A', '5')",92 BPM,2-Feb,Parsonâ€™s Farewell,Dm,12,/tunes/parsons-farewell
1495,intermediate,D minor,/tunes/harrington-pastorale-for-solo-flute.pdf,"('C#', '4', 'E', '6')",100 BPM,4-May,Pastorale,Dm,12,/tunes/harrington-pastorale-for-solo-flute
1013,intermediate,D minor,/tunes/saint-saens-etienne-marcel-pavane.pdf,"('D', '4', 'F', '6')",58 BPM,2-Feb,Pavane Ã‰tienne Marcel,Dm,12,/tunes/saint-saens-etienne-marcel-pavane
927,intermediate,D minor,/tunes/bach-cello-suite-no2-prelude.pdf,"('C#', '4', 'G', '6')",46 BPM,4-Mar,Prelude Cello Suite No. 2 in D minor,Dm,12,/tunes/bach-cello-suite-no2-prelude
2008,intermediate,D minor,/tunes/boismortier-op-22-no38-prelude.pdf,"('D', '4', 'D', '6')",120 BPM,4-Apr,PrÃ©lude in D minor 55 Easy Pieces,Dm,12,/tunes/boismortier-op-22-no38-prelude
2852,intermediate,D minor,/tunes/corelli-violin-sonata-op5-no7-i-preludio.pdf,"('C#', '4', 'D', '6')",108 BPM,4-Apr,Preludio Violin Sonata No. 7 in D minor,Dm,12,/tunes/corelli-violin-sonata-op5-no7-i-preludio
1131,intermediate,D minor,/tunes/telemann-canonic-sonata-no4-presto.pdf,"('D', '4', 'C', '6')",112 BPM,4-Apr,"Presto Six Canonic Sonatas for Two Flutes, No. 4",Dm,12,/tunes/telemann-canonic-sonata-no4-presto
2217,intermediate,D minor,/tunes/marcello-recorder-sonata-in-d-minor-op2-no8-iv-presto.pdf,"('F', '4', 'D', '6')",228 BPM,8-Mar,Presto Recorder Sonata No. 8 in D minor,Dm,12,/tunes/marcello-recorder-sonata-in-d-minor-op2-no8-iv-presto
